State,Grocery Store,Latitude,Longitude,Turkey,Green Beans,Green Beans,Stuffing Mix,Stuffing Mix,Brown Gravy Mix - Private Label,Brown Gravy Mix,Cream of Mushroom,Cream of Mushroom,Mac&. Cheese,Mac&. Cheese,Sweet Rolls,Cranberry Sauce,Cranberry Sauce,
New Jersey,Shoprite,40.30,-74.52,$19.08,$0.99,$1.79,$1.29,$2.00,$0.79,$0.99,$1.29,$1.67,$0.79,$1.49,N/A,$2.99,$0.99,$1.88
California,Albertsons,36.12,-119.68,$27.86,$1.50,$1.50,$2.00,$2.49,$1.00,$0.99,$1.50,$1.79,$1.00,$1.25,N/A,$4.99,$1.99,$3.99
Montana,Albertsons,46.92,-110.45,$27.86,$0.99,$1.29,$1.99,$1.99,$0.89,$1.00,$1.19,$1.49,$1.19,$1.29,N/A,$3.99,$2.79,$2.50
Nevada,Kroger,38.31,-117.06,$9.48,$0.89,$1.29,$1.00,$2.00,$0.50,$2.00,$1.00,$1.29,$0.89,$1.25,N/A,$7.19,$1.99,$1.99
Utah,Kroger,40.15,-111.86,$11.88,$0.89,$1.29,$1.00,$2.00,$0.50,$2.00,$1.00,$1.29,$0.79,$1.25,N/A,$7.19,$2.00,$1.99
Washington,Albertsons,47.40,-121.49,$27.86,$1.49,$1.67,$2.00,$2.50,$1.29,$1.00,$1.25,$1.99,$0.99,$1.25,N/A,$4.49,$2.00,$2.50
Oklahoma,ALDI,35.57,-96.93,$10.95,$0.55,N/A,$0.89,$1.98,$0.29,N/A,$0.68,$1.15,$0.65,N/A,N/A,$1.99,$1.75,$1.99
Minnesota,Cub,45.69,-93.90,$23.88,$0.79,$1.49,$2.29,$2.50,$0.69,$0.99,$1.49,$1.49,$0.79,$1.59,N/A,$4.99,$1.89,$1.99
Kansas,Dillons / kroger,38.53,-96.73,$10.68,$0.95,$1.29,$1.00,$2.00,$0.50,$1.00,$1.25,$1.29,N/A,$1.25,N/A,$4.49,$1.99,$1.99
Louisiana,Winn-Dixie,31.17,-91.87,$11.88,$0.89,$1.99,$1.49,$3.39,$0.79,$1.29,$0.99,$1.99,$0.89,$2.99,N/A,$5.59,$1.79,$2.79
