State,Grocery Store,Latitude,Longitude,Turkey (10-14lb),Green Beans - Private Label,Green Beans,Stuffing Mix - Private Label,Stuffing Mix,Brown Gravy Mix - Private Label,Brown Gravy Mix,Cream of Mushroom - Private Label,Cream of Mushroom,Mac&. Cheese - Private Label,Mac&. Cheese,Sweet Rolls,Cranberry Sauce - Private Label,Cranberry Sauce
New Jersey,Shoprite,40.298904,-74.521011,19.08,0.99,1.79,1.29,2.00,0.79,0.99,1.29,1.67,0.79,1.49,2.99,0.99,1.88
California,Albertsons,36.116203,-119.681564,27.86,1.50,1.50,2.00,2.49,1.00,0.99,1.50,1.79,1.00,1.25,4.99,1.99,3.99
Montana,Albertsons,46.921925,-110.454353,27.86,0.99,1.29,1.99,1.99,0.89,1.00,1.19,1.49,1.19,1.29,3.99,2.79,2.50
Nevada,Kroger,38.313515,-117.055374,9.48,0.89,1.29,1.00,2.00,0.50,2.00,1.00,1.29,0.89,1.25,7.19,1.99,1.99
Utah,Kroger,40.150032,-111.862434,11.88,0.89,1.29,1.00,2.00,0.50,2.00,1.00,1.29,0.79,1.25,7.19,2.00,1.99
Washington,Albertsons,47.400902,-121.490494,27.86,1.49,1.67,2.00,2.50,1.29,1.00,1.25,1.99,0.99,1.25,4.49,2.00,2.50
Oklahoma,ALDI,35.565342,-96.928917,10.95,0.55,N/A,0.89,1.98,0.29,N/A,0.68,1.15,0.65,N/A,1.99,1.75,1.99
Minnesota,Cub,45.694454,-93.900192,23.88,0.79,1.49,2.29,2.50,0.69,0.99,1.49,1.49,0.79,1.59,4.99,1.89,1.99
Kansas,Dillons / kroger,38.5266,-96.726486,10.68,0.95,1.29,1.00,2.00,0.50,1.00,1.25,1.29,N/A,1.25,4.49,1.99,1.99
Alabama,Publix ,32.806671,-86.79113,5.88,1.31,1.11,N/A,3.53,0.98,1.35,1.67,2.11,1.07,1.75,5.97,1.49,2.59
Louisiana,Winn-Dixie,31.169546,-91.867805,11.88,0.89,1.99,1.49,3.39,0.79,1.29,0.99,1.99,0.89,2.99,5.59,1.79,2.79
Maryland,Giant,39.063946,-76.802101,3.24,0.89,1.00,1.00,2.00,0.79,0.88,0.99,1.25,0.89,1.50,4.00,1.66,2.00
Delaware,Food Lion,39.318523,-75.507141,11.88,1.25,1.50,1.19,2.00,0.89,0.99,1.29,1.50,0.99,1.29,4.69,1.50,2.18
North Carolina,Food Lion,35.630066,-79.806419,11.88,1.25,1.19,0.79,2.00,0.39,0.99,1.29,1.26,0.57,1.29,4.69,1.50,2.18
South Carolina,Food Lion,33.856892,-80.945007,11.88,1.25,2.19,1.19,2.00,0.89,0.99,1.29,1.50,0.99,1.29,4.69,1.50,2.18
Virginia,Food Lion,37.769337,-78.169968,11.88,1.25,1.19,0.79,2.00,0.39,0.99,1.29,1.26,0.57,1.29,4.69,1.50,2.18
Oregon,Fred Meyer / Kroger,44.572021,-122.070938,11.88,0.89,1.29,1.00,2.00,0.50,2.00,1.00,1.29,N/A,1.25,3.49,1.79,1.99
Alaska,Fred Meyer / Kroger,61.370716,-152.404419,11.88,1.09,1.79,1.50,2.50,1.29,1.25,1.25,1.59,1.00,1.25,5.49,2.39,2.49
District of Columbia,Giant Food,38.897438,-77.026817,3.78,0.89,1.25,1.00,2.00,0.79,0.88,0.99,1.50,0.89,1.50,5.00,1.66,2.00
Pennsylvania,Giant Food,40.590752,-77.209755,29.88,0.79,1.00,1.39,2.00,0.50,0.89,1.00,1.00,0.75,1.33,4.00,1.00,2.00
Maine,Shaw,44.693947,-69.381927,17.88,1.00,1.79,2.49,2.50,0.99,1.00,1.49,1.49,N/A,1.99,3.99,1.50,1.99
Texas,HEB,31.054487,-97.563461,12.13,0.52,1.30,1.01,2.06,0.33,0.87,1.02,1.79,0.71,1.29,4.87,N/A,2.06
