State,Grocery Store,Turkey,Green Beans,Green Beans,Stuffing Mix,Stuffing Mix,Brown Gravy Mix - Private Label,Brown Gravy Mix,Cream of Mushroom,Cream of Mushroom,Mac&. Cheese,Mac&. Cheese,Sweet Rolls,Sweet Rolls,Cranberry Sauce,Cranberry Sauce
New Jersey,Shoprite,$19.08,$0.99,$1.79,$1.29,$2.00,$0.79,$0.99,$1.29,$1.67,$0.79,$1.49,N/A,$2.99,$0.99,$1.88
California,Albertsons,$27.86,$1.50,$1.50,$2.00,$2.49,$1.00,$0.99,$1.50,$1.79,$1.00,$1.25,N/A,$4.99,$1.99,$3.99
Idaho,Winco (not statistically sig),Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!,Unable to shop online?!
Montana,Albertsons,$27.86,$0.99,$1.29,$1.99,$1.99,$0.89,$1.00,$1.19,$1.49,$1.19,$1.29,N/A,$3.99,$2.79,$2.50
Nevada,Kroger,$9.48,$0.89,$1.29,$1.00,$2.00,$0.50,$2.00,$1.00,$1.29,$0.89,$1.25,N/A,$7.19,$1.99,$1.99
New Mexico,Albertsons,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip
North Dakota,Albertsons,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip
Utah,Kroger,$11.88,$0.89,$1.29,$1.00,$2.00,$0.50,$2.00,$1.00,$1.29,$0.79,$1.25,N/A,$7.19,$2.00,$1.99
Washington,Albertsons,$27.86,$1.49,$1.67,$2.00,$2.50,$1.29,$1.00,$1.25,$1.99,$0.99,$1.25,N/A,$4.49,$2.00,$2.50
Wyoming,Albertsons,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip,Unable to find w zip
